location,monthname,mean.kud95,se.kud95
Opal Reef,15-Oct,0.526037362,0.022963
Opal Reef,15-Nov,0.464048491,0.009491
Opal Reef,15-Dec,0.477083966,0.007696
Opal Reef,16-Jan,0.490229302,0.016441
Opal Reef,16-Feb,0.477258393,0.009249
Opal Reef,16-Mar,0.475014031,0.010247
Opal Reef,16-Apr,0.480831965,0.012671
Opal Reef,16-May,0.524687376,0.024112
Opal Reef,16-Jun,0.516867295,0.016567
Opal Reef,16-Jul,0.539587521,0.018617
Opal Reef,16-Aug,0.54549487,0.020130
Opal Reef,16-Sep,0.536075848,0.017721
Heron Island,15-Sep,0.449362411,0.017772
Heron Island,15-Oct,0.468682392,0.022277
Heron Island,15-Nov,0.471750958,0.021622
Heron Island,15-Dec,0.473514202,0.026198
Heron Island,16-Jan,0.458509088,0.027973
Heron Island,16-Feb,0.453308398,0.024901
Heron Island,16-Mar,0.452182199,0.029831
Heron Island,16-Apr,0.475834523,0.029514
Heron Island,16-May,0.469650882,0.031356
Heron Island,16-Jun,0.462741432,0.034566
Heron Island,16-Jul,0.512989005,0.043444
Heron Island,16-Aug,0.486637698,0.040862
