fishid,group,score,measure
a13-1l,sneaker,2217,1
a13-1l,sneaker,2159,2
a13-1l,sneaker,2102,3
a13-1r,guarder,2121,1
a13-1r,guarder,2080,2
a13-1r,guarder,3198,3
a13-2l,sneaker,2418,1
a13-2l,sneaker,2485,2
a13-2l,sneaker,2318,3
a14-1r,guarder,2154,1
a14-1r,guarder,2197,2
a14-1r,guarder,2104,3
a15-2l,guarder,2043,1
a15-2l,guarder,2035,2
a15-2l,guarder,2002,3
a15-2r,sneaker,2134,1
a15-2r,sneaker,2150,2
a15-2r,sneaker,2188,3
a16-2r,sneaker,2080,1
a16-2r,sneaker,2069,2
a16-2r,sneaker,2027,3
b14-2l,guarder,2707,1
b14-2l,guarder,2623,2
b14-2l,guarder,2617,3
b15-1l,guarder,2746,1
b15-1l,guarder,2689,2
b15-1l,guarder,2689,3
b15-2r,sneaker,2684,1
b15-2r,sneaker,2798,2
b15-2r,sneaker,2687,3
b16-1r,guarder,2862,1
b16-1r,guarder,2742,2
b16-1r,guarder,2679,3
b16-2l,sneaker,2808,1
b16-2l,sneaker,2811,2
b16-2l,sneaker,2775,3
c13-1l,sneaker,2891,1
c13-1l,sneaker,2773,2
c13-1l,sneaker,2663,3
c14-1l,guarder,2638,1
c14-1l,guarder,2564,2
c14-1l,guarder,2600,3
c15-1r,sneaker,3206,1
c15-1r,sneaker,3160,2
c15-1r,sneaker,3034,3
c15-2l,guarder,2790,1
c15-2l,guarder,2643,2
c15-2l,guarder,2631,3
c16-1l,guarder,2652,1
c16-1l,guarder,2639,2
c16-1l,guarder,2606,3
c16-1r,sneaker,3100,1
c16-1r,sneaker,3103,2
c16-1r,sneaker,3084,3
c16-2r,sneaker,3324,1
c16-2r,sneaker,3347,2
c16-2r,sneaker,3290,3
d13-1r,guarder,2722,1
d13-1r,guarder,2692,2
d13-1r,guarder,2564,3
